Timestamp,Value,Type
11:52:41 PM.98,"Temperature: 27.20°C\r\n",received
11:52:41 PM.98,"Cloud Temperature: 27.20\r\n",received
11:52:43 PM.144,"Temperature: 27.20°C\r\n",received
11:52:43 PM.144,"Cloud Temperature: 27.20\r\n",received
11:52:45 PM.194,"Temperature: 27.20°C\r\n",received
11:52:45 PM.194,"Cloud Temperature: 27.20\r\n",received
11:52:47 PM.238,"Temperature: 27.20°C\r\n",received
11:52:47 PM.238,"Cloud Temperature: 27.20\r\n",received
11:52:49 PM.283,"Temperature: 27.20°C\r\n",received
11:52:49 PM.301,"Cloud Temperature: 27.20\r\n",received
11:52:51 PM.352,"Temperature: 27.20°C\r\n",received
11:52:51 PM.352,"Cloud Temperature: 27.20\r\n",received
11:52:53 PM.401,"Temperature: 27.20°C\r\n",received
11:52:53 PM.401,"Cloud Temperature: 27.20\r\n",received
11:52:55 PM.457,"Temperature: 27.20°C\r\n",received
11:52:55 PM.457,"Cloud Temperature: 27.20\r\n",received
11:52:57 PM.504,"Temperature: 27.20°C\r\n",received
11:52:57 PM.504,"Cloud Temperature: 27.20\r\n",received
11:52:59 PM.547,"Temperature: 27.20°C\r\n",received
11:52:59 PM.547,"Cloud Temperature: 27.20\r\n",received
11:53:01 PM.593,"Temperature: 27.20°C\r\n",received
11:53:01 PM.593,"Cloud Temperature: 27.20\r\n",received
11:53:03 PM.643,"Temperature: 27.20°C\r\n",received
11:53:03 PM.643,"Cloud Temperature: 27.20\r\n",received
11:53:05 PM.690,"Temperature: 27.20°C\r\n",received
11:53:05 PM.690,"Cloud Temperature: 27.20\r\n",received
11:53:07 PM.752,"Temperature: 27.20°C\r\n",received
11:53:07 PM.752,"Cloud Temperature: 27.20\r\n",received
11:53:09 PM.797,"Temperature: 27.20°C\r\n",received
11:53:09 PM.797,"Cloud Temperature: 27.20\r\n",received
11:53:11 PM.856,"Temperature: 27.20°C\r\n",received
11:53:11 PM.856,"Cloud Temperature: 27.20\r\n",received
11:53:13 PM.900,"Temperature: 27.20°C\r\n",received
11:53:13 PM.900,"Cloud Temperature: 27.20\r\n",received
11:53:15 PM.949,"Temperature: 27.20°C\r\n",received
11:53:15 PM.949,"Cloud Temperature: 27.20\r\n",received
11:53:17 PM.992,"Temperature: 27.20°C\r\n",received
11:53:17 PM.992,"Cloud Temperature: 27.20\r\n",received
11:53:20 PM.48,"Temperature: 27.20°C\r\n",received
11:53:20 PM.48,"Cloud Temperature: 27.20\r\n",received
11:53:22 PM.85,"Temperature: 27.20°C\r\n",received
11:53:22 PM.85,"Cloud Temperature: 27.20\r\n",received
11:53:24 PM.134,"Temperature: 27.20°C\r\n",received
11:53:24 PM.134,"Cloud Temperature: 27.20\r\n",received
11:53:26 PM.196,"Temperature: 27.30°C\r\n",received
11:53:26 PM.196,"Cloud Temperature: 27.30\r\n",received
11:53:28 PM.258,"Temperature: 27.30°C\r\n",received
11:53:28 PM.258,"Cloud Temperature: 27.30\r\n",received
11:53:30 PM.291,"Temperature: 27.20°C\r\n",received
11:53:30 PM.291,"Cloud Temperature: 27.20\r\n",received
11:53:32 PM.350,"Temperature: 27.30°C\r\n",received
11:53:32 PM.350,"Cloud Temperature: 27.30\r\n",received
11:53:34 PM.400,"Temperature: 27.30°C\r\n",received
11:53:34 PM.400,"Cloud Temperature: 27.30\r\n",received
11:53:36 PM.464,"Temperature: 27.30°C\r\n",received
11:53:36 PM.464,"Cloud Temperature: 27.30\r\n",received
11:53:38 PM.506,"Temperature: 27.30°C\r\n",received
11:53:38 PM.506,"Cloud Temperature: 27.30\r\n",received
11:53:40 PM.555,"Temperature: 27.30°C\r\n",received
11:53:40 PM.555,"Cloud Temperature: 27.30\r\n",received
11:53:42 PM.599,"Temperature: 27.30°C\r\n",received
11:53:42 PM.599,"Cloud Temperature: 27.30\r\n",received
11:53:44 PM.645,"Temperature: 27.30°C\r\n",received
11:53:44 PM.645,"Cloud Temperature: 27.30\r\n",received
11:53:46 PM.694,"Temperature: 27.30°C\r\n",received
11:53:46 PM.694,"Cloud Temperature: 27.30\r\n",received
11:53:48 PM.751,"Temperature: 27.30°C\r\n",received
11:53:48 PM.751,"Cloud Temperature: 27.30\r\n",received
11:53:50 PM.796,"Temperature: 27.30°C\r\n",received
11:53:50 PM.796,"Cloud Temperature: 27.30\r\n",received
11:53:52 PM.845,"Temperature: 27.30°C\r\n",received
11:53:52 PM.845,"Cloud Temperature: 27.30\r\n",received
11:53:54 PM.908,"Temperature: 27.40°C\r\n",received
11:53:54 PM.908,"Cloud Temperature: 27.40\r\n",received
11:53:56 PM.959,"Temperature: 27.40°C\r\n",received
11:53:56 PM.959,"Cloud Temperature: 27.40\r\n",received
